Category,tag,parent_tag,num_children,num_siblings,dom_depth,class_str,id_str,text_len,text_word_count,text_digit_count,has_currency_symbol,is_price_format,text_density,reading_ease,has_href,is_image
other,li,ul,1,7,6,,selected,7,1,0,0,0,3.5,36.62000000000003,0,0
other,span,li,0,0,7,,,7,1,0,0,0,7.0,36.62000000000003,0,0
other,li,ul,1,7,6,,,7,1,0,0,0,3.5,121.22000000000003,0,0
other,a,li,0,0,7,,,7,1,0,0,0,7.0,121.22000000000003,1,0
other,li,ul,1,7,6,,,9,1,0,0,0,4.5,-47.97999999999996,0,0
other,a,li,0,0,7,,,9,1,0,0,0,9.0,-47.97999999999996,1,0
other,li,ul,1,7,6,,,5,1,0,0,0,2.5,121.22000000000003,0,0
other,a,li,0,0,7,,,5,1,0,0,0,5.0,121.22000000000003,1,0
other,li,ul,1,7,6,,,8,1,0,0,0,4.0,-47.97999999999996,0,0
other,a,li,0,0,7,,,8,1,0,0,0,8.0,-47.97999999999996,1,0
other,li,ul,1,7,6,,,17,2,0,0,0,8.5,-6.694999999999993,0,0
other,a,li,0,0,7,,,17,2,0,0,0,17.0,-6.694999999999993,1,0
other,li,ul,1,7,6,,,12,2,0,0,0,6.0,-6.694999999999993,0,0
other,a,li,0,0,7,,,12,2,0,0,0,12.0,-6.694999999999993,1,0
other,li,ul,1,7,6,,,8,1,0,0,0,4.0,-47.97999999999996,0,0
other,a,li,0,0,7,,,8,1,0,0,0,8.0,-47.97999999999996,1,0
other,div,div,7,8,3,,content-wrap,8332,1105,289,0,0,7.736304549675023,53.175118062317466,0,0
other,div,div,4,6,4,sidebar,leftbar,2019,256,2,0,0,7.159574468085107,-30.765217391304304,0,0
other,h1,div,0,3,5,,,11,1,0,0,0,11.0,36.62000000000003,0,0
other,div,div,1,3,5,left-box,sear,0,0,0,0,0,0.0,0.0,0,0
other,form,div,1,0,6,,,0,0,0,0,0,0.0,0.0,0,0
other,input,p,0,2,8,textbox,,0,0,0,0,0,0.0,0.0,0,0
other,input,p,0,2,8,ibtn button,,0,0,0,0,0,0.0,0.0,0,0
other,a,p,1,2,8,,,0,0,0,0,0,0.0,0.0,1,0
other,img,a,0,0,9,,,0,0,0,0,0,0.0,0.0,0,1
other,h1,div,0,3,5,,,9,1,0,0,0,9.0,-47.97999999999996,0,0
other,div,div,1,3,5,,cat_container,1945,254,2,0,0,7.150735294117647,-64.33908536585363,0,0
other,ul,div,135,0,6,,cat_list,1945,254,2,0,0,7.177121771217712,-64.33908536585363,0,0
other,li,ul,1,134,7,alt-odd,,16,3,1,0,0,8.0,62.79000000000002,0,0
other,a,li,0,0,8,,,16,3,1,0,0,16.0,62.79000000000002,1,0
other,li,ul,1,134,7,alt-even,,16,3,1,0,0,8.0,62.79000000000002,0,0
other,a,li,0,0,8,,,16,3,1,0,0,16.0,62.79000000000002,1,0
other,li,ul,1,134,7,alt-odd,,6,1,0,0,0,3.0,36.62000000000003,0,0
other,a,li,0,0,8,,,6,1,0,0,0,6.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-even,,7,1,0,0,0,3.5,-132.57999999999996,0,0
other,a,li,0,0,8,,,7,1,0,0,0,7.0,-132.57999999999996,1,0
other,li,ul,1,134,7,alt-odd,,6,1,0,0,0,3.0,-47.97999999999996,0,0
other,a,li,0,0,8,,,6,1,0,0,0,6.0,-47.97999999999996,1,0
other,li,ul,1,134,7,alt-even,,11,1,0,0,0,5.5,-47.97999999999996,0,0
other,a,li,0,0,8,,,11,1,0,0,0,11.0,-47.97999999999996,1,0
other,li,ul,1,134,7,alt-odd,,4,1,0,0,0,2.0,121.22000000000003,0,0
other,a,li,0,0,8,,,4,1,0,0,0,4.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,19,3,0,0,0,9.5,35.60500000000002,0,0
other,a,li,0,0,8,,,19,3,0,0,0,19.0,35.60500000000002,1,0
other,li,ul,1,134,7,alt-odd,,6,1,0,0,0,3.0,121.22000000000003,0,0
other,a,li,0,0,8,,,6,1,0,0,0,6.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,23,3,0,0,0,11.5,35.60500000000002,0,0
other,a,li,0,0,8,,,23,3,0,0,0,23.0,35.60500000000002,1,0
other,li,ul,1,134,7,alt-odd,,8,1,0,0,0,4.0,121.22000000000003,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,26,4,0,0,0,13.0,34.59000000000003,0,0
other,a,li,0,0,8,,,26,4,0,0,0,26.0,34.59000000000003,1,0
other,li,ul,1,134,7,alt-odd,,19,3,0,0,0,9.5,-6.694999999999993,0,0
other,a,li,0,0,8,,,19,3,0,0,0,19.0,-6.694999999999993,1,0
other,li,ul,1,134,7,alt-even,,14,2,0,0,0,7.0,120.20500000000001,0,0
other,a,li,0,0,8,,,14,2,0,0,0,14.0,120.20500000000001,1,0
other,li,ul,1,134,7,alt-odd,,11,1,0,0,0,5.5,-47.97999999999996,0,0
other,a,li,0,0,8,,,11,1,0,0,0,11.0,-47.97999999999996,1,0
other,li,ul,1,134,7,alt-even,,6,1,0,0,0,3.0,121.22000000000003,0,0
other,a,li,0,0,8,,,6,1,0,0,0,6.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-odd,,8,1,0,0,0,4.0,36.62000000000003,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-even,,27,6,0,0,0,13.5,118.17500000000001,0,0
other,a,li,0,0,8,,,27,6,0,0,0,27.0,118.17500000000001,1,0
other,li,ul,1,134,7,alt-odd,,9,1,0,0,0,4.5,36.62000000000003,0,0
other,a,li,0,0,8,,,9,1,0,0,0,9.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-even,,6,1,0,0,0,3.0,36.62000000000003,0,0
other,a,li,0,0,8,,,6,1,0,0,0,6.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-odd,,18,2,0,0,0,9.0,35.60500000000002,0,0
other,a,li,0,0,8,,,18,2,0,0,0,18.0,35.60500000000002,1,0
other,li,ul,1,134,7,alt-even,,7,1,0,0,0,3.5,121.22000000000003,0,0
other,a,li,0,0,8,,,7,1,0,0,0,7.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-odd,,23,5,0,0,0,11.5,34.59000000000003,0,0
other,a,li,0,0,8,,,23,5,0,0,0,23.0,34.59000000000003,1,0
other,li,ul,1,134,7,alt-even,,37,5,0,0,0,18.5,12.425000000000011,0,0
other,a,li,0,0,8,,,37,5,0,0,0,37.0,12.425000000000011,1,0
other,li,ul,1,134,7,alt-odd,,7,1,0,0,0,3.5,-47.97999999999996,0,0
other,a,li,0,0,8,,,7,1,0,0,0,7.0,-47.97999999999996,1,0
other,li,ul,1,134,7,alt-even,,8,1,0,0,0,4.0,121.22000000000003,0,0
other,a,li,0,0,8,,,8,1,0,0,0,8.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-odd,,7,1,0,0,0,3.5,36.62000000000003,0,0
other,a,li,0,0,8,,,7,1,0,0,0,7.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-even,,7,1,0,0,0,3.5,36.62000000000003,0,0
other,a,li,0,0,8,,,7,1,0,0,0,7.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-odd,,19,3,0,0,0,9.5,35.60500000000002,0,0
other,a,li,0,0,8,,,19,3,0,0,0,19.0,35.60500000000002,1,0
other,li,ul,1,134,7,alt-even,,7,1,0,0,0,3.5,36.62000000000003,0,0
other,a,li,0,0,8,,,7,1,0,0,0,7.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-odd,,9,1,0,0,0,4.5,-47.97999999999996,0,0
other,a,li,0,0,8,,,9,1,0,0,0,9.0,-47.97999999999996,1,0
other,li,ul,1,134,7,alt-even,,4,1,0,0,0,2.0,36.62000000000003,0,0
other,a,li,0,0,8,,,4,1,0,0,0,4.0,36.62000000000003,1,0
other,li,ul,1,134,7,alt-odd,,9,1,0,0,0,4.5,121.22000000000003,0,0
other,a,li,0,0,8,,,9,1,0,0,0,9.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-even,,9,1,0,0,0,4.5,121.22000000000003,0,0
other,a,li,0,0,8,,,9,1,0,0,0,9.0,121.22000000000003,1,0
other,li,ul,1,134,7,alt-odd,,17,3,0,0,0,8.5,77.90500000000002,0,0
