Category,tag,parent_tag,gparent_tag,num_children,num_siblings,dom_depth,sibling_tag_ratio,sibling_link_ratio,sibling_image_count,has_nav_ancestor,has_footer_ancestor,has_header_ancestor,text_len,text_word_count,text_digit_count,text_density,digit_density,capitalization_ratio,avg_word_length,has_currency_symbol,is_price_format,has_sold_keyword,has_review_keyword,has_cta_keyword,is_header,is_formatting,is_block_element,is_list_item,font_size,font_weight,visual_weight,tag_importance,is_bold,is_italic,is_hidden,is_strikethrough,is_image,has_src,has_alt,alt_len,img_width,img_height,img_area_raw,image_area,is_clickable,has_href,link_density,parent_is_link,class_str,id_str,avg_distance_to_closest_categories,img_size_rank,visibility_score_local,visibility_score_global,text_len_score_local,tag_count_global,xpath,max_sibling_density,SourceURL
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,21,3,0,0.328125,0.0,0.047619047619047616,6.333333333333333,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.5157894736842105,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[2]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,98,14,7,0.7205882352941176,0.07142857142857142,0.05102040816326531,6.071428571428571,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,2.5407407407407407,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[3]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,11,2,0,0.2037037037037037,0.0,0.09090909090909091,5.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.21629213483146068,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[3]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,10,2,4,0.19607843137254902,0.4,0.2,4.5,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.24911032028469748,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[4]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,17,3,0,0.288135593220339,0.0,0.058823529411764705,5.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.39666666666666667,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[3]/div[4]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,102,17,12,0.7338129496402878,0.11764705882352941,0.06862745098039216,5.0588235294117645,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,3.26027397260274,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[1]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,22,5,0,0.34375,0.0,0.045454545454545456,3.6,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.509933774834437,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[1]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,40,7,8,0.5128205128205128,0.2,0.1,4.857142857142857,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.9240924092409241,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[2]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,17,3,0,0.288135593220339,0.0,0.058823529411764705,5.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.3269230769230769,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[2]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,94,16,7,0.7121212121212122,0.07446808510638298,0.07446808510638298,4.9375,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,2.1022364217252396,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[3]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,11,2,0,0.2037037037037037,0.0,0.09090909090909091,5.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.21875,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[3]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,78,11,8,0.6782608695652174,0.10256410256410256,0.0641025641025641,6.181818181818182,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,1.7333333333333334,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[4]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,51,7,0,0.5483870967741935,0.0,0.0392156862745098,6.428571428571429,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.9944289693593314,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[4]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,18,1.0,0.0,0,0,0,0,61,10,9,0.48412698412698413,0.14754098360655737,0.04918032786885246,5.2,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,1.5932835820895523,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[6]/div/div[2]/div/div/div/div/div[1]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,18,1.0,0.0,0,0,0,0,3,1,0,0.038461538461538464,0.0,0.0,3.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.07749077490774907,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[6]/div/div[2]/div/div/div/div/div[1]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,18,1.0,0.0,0,0,0,0,61,9,0,0.48412698412698413,0.0,0.06557377049180328,5.888888888888889,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,1.940909090909091,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[6]/div/div[2]/div/div/div/div/div[4]/div/div[2]/div[3],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,18,1.0,0.0,0,0,0,0,3,1,0,0.038461538461538464,0.0,0.0,3.0,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,description,,3.3333333333333335,0,1.0,0.9966329966329968,0.11602209944751381,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[6]/div/div[2]/div/div/div/div/div[4]/div/div[2]/div[4],7.0,https://www.valentinska.cz/home
description,div,div,div,0,6,13,1.0,0.0,0,0,0,0,14,2,0,0.30434782608695654,0.0,0.14285714285714285,6.5,0,0,0,0,0,0,0,1,0,16.0,400,16.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,author,,3.3333333333333335,0,1.0,0.9966329966329968,0.6901408450704226,102,/html/body/section/section[3]/div/div/div[2]/div[2]/div[3]/div[4]/div[1]/div/div[2]/div[2],7.0,https://www.valentinska.cz/home
