Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,text_content_difficulty,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,sibling_tags,dom_distance_from_root,has_href,href_domain,is_image,image_src,Selector
other,0,0,0,1,12.0,12,1,0,0,-217.17999999999998,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,6.4,32,5,0,0,-50.00999999999996,38,1,54,18,1,1,7,0,0,0,0,30
other,0,0,0,1,6.4,32,5,0,0,-50.00999999999996,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,5.0,15,3,0,0,35.60500000000002,38,1,54,19,1,1,7,0,0,0,0,30
other,0,0,0,1,5.0,15,3,0,0,35.60500000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,4.0,4,1,0,0,121.22000000000003,38,1,54,20,1,1,7,0,0,0,0,30
other,0,0,0,1,4.0,4,1,0,0,121.22000000000003,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,9.0,9,1,0,0,36.62000000000003,38,1,54,21,1,1,7,0,0,0,0,30
other,0,0,0,1,9.0,9,1,0,0,36.62000000000003,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,11.0,22,2,0,0,35.60500000000002,38,1,54,22,1,1,7,0,0,0,0,30
other,0,0,0,1,11.0,22,2,0,0,35.60500000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,6.2,31,5,0,0,6.390000000000015,38,1,54,23,1,1,7,0,0,0,0,30
other,0,0,0,1,6.2,31,5,0,0,6.390000000000015,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,5.666666666666667,17,3,0,0,-48.994999999999976,38,1,54,24,1,1,7,0,0,0,0,30
other,0,0,0,1,5.666666666666667,17,3,0,0,-48.994999999999976,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,5.0,5,1,0,0,36.62000000000003,38,1,54,25,1,1,7,0,0,0,0,30
other,0,0,0,1,5.0,5,1,0,0,36.62000000000003,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,5.0,5,1,0,0,36.62000000000003,38,1,54,26,1,1,7,0,0,0,0,30
other,0,0,0,1,5.0,5,1,0,0,36.62000000000003,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,8.0,16,2,0,0,-6.694999999999993,38,1,54,27,1,1,7,0,0,0,0,30
other,0,0,0,1,8.0,16,2,0,0,-6.694999999999993,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,6.666666666666667,20,3,0,0,77.90500000000002,38,1,54,28,1,1,7,0,0,0,0,30
other,0,0,0,1,6.666666666666667,20,3,0,0,77.90500000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,6.0,12,2,0,0,120.20500000000001,38,1,54,29,1,1,7,0,0,0,0,30
other,0,0,0,1,6.0,12,2,0,0,120.20500000000001,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,6.75,27,4,0,0,62.79000000000002,38,1,54,30,1,1,7,0,0,0,0,30
other,0,0,0,1,6.75,27,4,0,0,62.79000000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,8.5,17,2,0,0,-6.694999999999993,38,1,54,31,1,1,7,0,0,0,0,30
other,0,0,0,1,8.5,17,2,0,0,-6.694999999999993,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,2.6,13,5,0,0,6.390000000000015,38,1,54,32,1,1,7,0,0,0,0,30
other,0,0,0,1,2.6,13,5,0,0,6.390000000000015,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,4.8,24,5,0,0,62.79000000000002,38,1,54,33,1,1,7,0,0,0,0,30
other,0,0,0,1,4.8,24,5,0,0,62.79000000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,6.2,31,5,0,0,34.59000000000003,38,1,54,34,1,1,7,0,0,0,0,30
other,0,0,0,1,6.2,31,5,0,0,34.59000000000003,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,5.666666666666667,17,3,0,0,77.90500000000002,38,1,54,35,1,1,7,0,0,0,0,30
other,0,0,0,1,5.666666666666667,17,3,0,0,77.90500000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,6.666666666666667,20,3,0,0,120.20500000000001,38,1,54,36,1,1,7,0,0,0,0,30
other,0,0,0,1,6.666666666666667,20,3,0,0,120.20500000000001,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,6.6,33,5,0,0,62.79000000000002,38,1,54,37,1,1,7,0,0,0,0,30
other,0,0,0,1,6.6,33,5,0,0,62.79000000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,8.0,24,3,0,0,35.60500000000002,38,1,54,38,1,1,7,0,0,0,0,30
other,0,0,0,1,8.0,24,3,0,0,35.60500000000002,22,0,0,0,0,0,8,1,0,0,0,30
