Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,dom_distance_from_root,has_href,is_image,image_src,Selector
image,img,,,"{'src': '/media/images/32314985795.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected', 'style': ''}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/32314985795.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(11) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
image,img,,,"{'src': '/media/images/32314983994.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected'}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/32314983994.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(12) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
image,img,,,"{'src': '/media/images/32313180419_3.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected'}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/32313180419_3.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(13) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
image,img,,,"{'src': '/media/images/32317058993.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected', 'style': ''}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/32317058993.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(14) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
image,img,,,"{'src': '/media/images/30896436021_2.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected'}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/30896436021_2.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(15) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
other,i,,fa fa-remove,{'class': 'fa fa-remove'},,0,0,0,0,a,0,0,0,[],5,False,False,,
other,a,,,"{'style': 'text-decoration:none', 'href': '/product?bookId=11496&bookName=Controspazio: n° 4 ottobre 1973 ""Piero Bottoni Quarant\'anni di battaglie per l\'architettura""'}","controspazio: n° 4 ottobre 1973 ""piero b ...
                        
                        
                            text_string = ""Controspazio: n° 4 ottobre 1973 &quot;Piero Bottoni Quarant&#x27;anni di battaglie per l&#x27;architettura&quot;"".toLowerCase().replaceAll(""&#x27;"",""'"").replaceAll(""&quot;"", ""\"""").replaceAll(""&amp;"", ""&"");
                            if(text_string.length > 40){
                                text_string = text_string.substring(0, 40)+ "" ..."";
                            }
                            if(text_string.length > 25){
                                document.getElementById(""11496_id"").removeChild(document.getElementById(""11496_br""));
                            }
                            document.getElementById(""11496"").textContent = text_string;
                            document.getElementById(""11496"").style.fontFamily = ""throndale, sans-serif""
                        
                    
                        
                            
                                45 Chf",1050,48,45,0,div,3,0,0,"['div', 'hr', 'div']",6,True,False,,
other,img,,logo-img,"{'src': '/media/images/logo-1.png', 'class': 'logo-img', 'alt': 'Logo', 'data-selector-highlight': 'predicted'}",,0,0,0,0,div,0,7,2,[],4,False,True,/media/images/logo-1.png,
other,div,,img-hover-zoom img-hover-zoom--slowmo image-container,{'class': 'img-hover-zoom img-hover-zoom--slowmo image-container'},,0,0,0,0,a,1,2,0,['img'],7,False,False,,
other,br,,,{},,0,0,0,0,div,0,7,3,[],4,False,False,,
